Keyword,Count,Avg Views,Avg Engagement
review,305,3586189.2918032785,0.02512052855444371
impressions,156,4235200.448717949,0.030530616269495044
tutorial,138,16006.072463768116,0.014496137075080545
galaxy,132,3521631.696969697,0.030994166794901957
iphone,129,6006088.449612403,0.031369989636941896
tech,116,3116128.1982758623,0.03301034335062623
pro,114,4863007.078947368,0.02944141261090052
google,107,2439651.785046729,0.031124096599348127
samsung,106,4056020.0188679243,0.030060056583617628
mkbhd,79,1025900.3544303797,0.03966979378414841
top,73,2170065.8630136987,0.030597788774071044
phone,71,3328934.4929577466,0.0329311351985261
explained,68,2752671.1764705884,0.03157632800185423
new,64,3170343.75,0.03087375433056947
apple,63,6047866.111111111,0.03212733938072867
smartphone,62,3095774.7419354836,0.04520051288186463
pixel,58,3646066.896551724,0.031920268829177395
youtube,56,831094.5714285715,0.03033906885537922
unboxing,56,4338127.017857143,0.030164642652023337
nexus,51,657391.4705882353,0.03524859547903026
