title,published_date,duration,views,likes,comments,engagement_rate,day_of_week,hour,Month,Day,Hour,TitleLength,DayOfWeek
iPhone 17 Pro Review: Paradox in a Box!,2025-09-26 21:00:43+00:00,12.366666666666667,3190536,96546,4160,0.03156397545741531,Friday,21,2025-09,Friday,21,39,4
iPhone Air Review: Beauty is Pain,2025-09-23 01:22:47+00:00,16.35,4630998,132481,7026,0.030124608129824284,Tuesday,1,2025-09,Tuesday,1,33,1
Wait... Smart Glasses are Suddenly Good?,2025-09-19 17:37:19+00:00,11.516666666666667,5855182,157656,7281,0.028169406177297306,Friday,17,2025-09,Friday,17,40,4
iPhone 17/Pro/Air Unboxing: 1 Hot Take!,2025-09-17 12:01:11+00:00,13.283333333333333,7047336,181702,8475,0.02698565812670206,Wednesday,12,2025-09,Wednesday,12,39,2
AirPods Pro 3 Review: I Understand It Now!,2025-09-15 12:00:56+00:00,11.833333333333334,5640116,173208,6865,0.03192718022111602,Monday,12,2025-09,Monday,12,42,0
iPhone 17/Pro/Air Impressions: Spot the Red Flags!,2025-09-10 08:04:59+00:00,14.833333333333334,13729190,338604,22142,0.02627584001678176,Wednesday,8,2025-09,Wednesday,8,50,2
The iPhone AIR,2025-09-10 02:54:04+00:00,0.8833333333333333,11493857,366475,6837,0.032479262618283836,Wednesday,2,2025-09,Wednesday,2,14,2
This NFL Tech is Hidden in Plain Sight,2025-09-05 23:25:14+00:00,1.9,8251593,377946,2375,0.04609061547267297,Friday,23,2025-09,Friday,23,38,4
Phone Camera PSA,2025-09-04 19:26:55+00:00,1.4333333333333333,6144870,266420,3769,0.04396984801956754,Thursday,19,2025-09,Thursday,19,16,3
Pixel 10/Pro Review: Good News and Bad News!,2025-08-29 18:43:10+00:00,20.333333333333332,3569304,91311,6270,0.027338943390644226,Friday,18,2025-08,Friday,18,44,4
Switching from iPhone to Android,2025-08-25 21:18:02+00:00,9.133333333333333,5119256,157596,15031,0.03372111103644748,Monday,21,2025-08,Monday,21,32,0
Google Pixel 10/Pro/Fold Impressions: Magnets!,2025-08-20 16:01:17+00:00,15.683333333333334,5213578,140402,6784,0.028231283774789596,Wednesday,16,2025-08,Wednesday,16,46,2
Top 5 Sports Tech I Actually Use!,2025-08-13 22:52:42+00:00,11.35,1365986,51108,1439,0.038468183422084856,Wednesday,22,2025-08,Wednesday,22,33,2
Investigating the Tesla Robotaxi!,2025-08-08 23:44:20+00:00,17.233333333333334,2854206,83580,7211,0.03180954703339563,Friday,23,2025-08,Friday,23,33,4
iPadOS 26: Ready for Laptop Duty?,2025-07-29 18:48:19+00:00,11.516666666666667,3767854,94254,5361,0.02643812631805797,Tuesday,18,2025-07,Tuesday,18,33,1
iOS 26 Hands-On: Liquid Glass!,2025-07-24 17:41:59+00:00,14.35,7153205,165378,8738,0.02434097722629227,Thursday,17,2025-07,Thursday,17,30,3
🚨 New YouTube Feature Alert 🚨,2025-07-18 17:01:56+00:00,0.7833333333333333,1670517,53062,957,0.03233669576544267,Friday,17,2025-07,Friday,17,29,4
Samsung Z Fold/Flip 7 Impressions: Major Upgrades!,2025-07-09 14:00:38+00:00,11.666666666666666,5093096,120467,6992,0.025025838900346667,Wednesday,14,2025-07,Wednesday,14,50,2
Nothing Phone 3 Review: They Lied!,2025-07-08 13:00:59+00:00,15.633333333333333,3426588,97156,7648,0.03058552706073797,Tuesday,13,2025-07,Tuesday,13,34,1
My Nintendo Switch 2 Review (Doesn't Matter?),2025-07-03 19:44:30+00:00,13.283333333333333,2672498,68361,4395,0.027223967988002237,Thursday,19,2025-07,Thursday,19,45,3
Nothing Headphone 1 Review: As Good as They Look?,2025-07-01 17:32:07+00:00,11.266666666666667,3678037,90972,4013,0.02582491693259203,Tuesday,17,2025-07,Tuesday,17,49,1
