Keyword,Count,Avg Views,Avg Engagement
best,252,696711.8888888889,0.02259048190243552
review,237,834920.2489451477,0.01981153284316133
smartphone,230,3412344.343478261,0.030921024649620977
android,189,1157362.3915343916,0.02298978699800353
samsung,168,2852300.5178571427,0.028508958430742453
iphone,162,5490853.00617284,0.030492431610540403
pro,150,3486316.8133333335,0.02865848431526249
unboxing,147,1714533.6326530613,0.028788997634629047
phone,127,5821553.448818898,0.0354891420419357
galaxy,125,1587374.84,0.024782298080488263
tech,99,7508850.01010101,0.03569814955382753
test,99,2339705.898989899,0.023679595598353396
camera,83,2547893.891566265,0.02728241361785075
note,83,1277538.7710843373,0.023382647906273892
2016,80,183905.825,0.025537162073753023
vita,78,116707.56410256411,0.01720840637168099
oneplus,74,1410373.7837837837,0.02948417419921051
full,71,87350.23943661971,0.013574864984459329
games,70,404704.0857142857,0.0172258481100164
new,69,1453579.8115942029,0.025510794160425572
